Company_ID,NEW_CONAME,Year,LabID_new,Lab_Location,Lab_State,StateOwned,ForeignOwned,DSIR_Code,LabLat,LabLong
1,A B B,2003,1,Nashik,Maharashtra,0,1,2,19.997453,73.789802
1,A B B,2003,2,Vadodara,Gujarat,0,1,2,22.3059,73.1908
1,A B B,2003,3,Bangalore,Karnataka,0,1,2,12.971599,77.594563
1,A B B,2005,1,Nashik,Maharashtra,0,1,2,19.997453,73.789802
1,A B B,2005,2,Vadodara,Gujarat,0,1,2,22.3059,73.1908
1,A B B,2005,3,Bangalore,Karnataka,0,1,2,12.971599,77.594563
1,A B B,2006,1,Nashik,Maharashtra,0,1,2,19.997453,73.789802
1,A B B,2006,2,Vadodara,Gujarat,0,1,2,22.3059,73.1908
1,A B B,2006,3,Bangalore,Karnataka,0,1,2,12.971599,77.594563
1,A B B,2007,1,Nashik,Maharashtra,0,1,2,19.997453,73.789802
1,A B B,2007,2,Vadodara,Gujarat,0,1,2,22.3059,73.1908
1,A B B,2007,3,Bangalore,Karnataka,0,1,2,12.971599,77.594563
1,A B B,2008,1,Nashik,Maharashtra,0,1,2,19.997453,73.789802
1,A B B,2008,2,Vadodara,Gujarat,0,1,2,22.3059,73.1908
1,A B B,2008,3,Bangalore,Karnataka,0,1,2,12.971599,77.594563
2,A B L Biotechnologies,2005,4,Chennai,Tamil Nadu,0,0,1,13.060422,80.249583
2,A B L Biotechnologies,2006,4,Chennai,Tamil Nadu,0,0,1,13.060422,80.249583
2,A B L Biotechnologies,2007,4,Chennai,Tamil Nadu,0,0,1,13.060422,80.249583
2,A B L Biotechnologies,2008,4,Chennai,Tamil Nadu,0,0,1,13.060422,80.249583
2,A B L Biotechnologies,2009,4,Chennai,Tamil Nadu,0,0,1,13.060422,80.249583
2,A B L Biotechnologies,2010,4,Chennai,Tamil Nadu,0,0,1,13.060422,80.249583
3,A B R Organics,2003,5,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
3,A B R Organics,2005,5,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
3,A B R Organics,2006,5,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
3,A B R Organics,2007,5,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
3,A B R Organics,2008,5,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
3,A B R Organics,2009,5,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
3,A B R Organics,2010,5,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
4,A C C Concrete,2003,6,Mumbai,Maharashtra,0,1,4,19.017615,72.856164
4,A C C Concrete,2005,6,Mumbai,Maharashtra,0,1,4,19.017615,72.856164
4,A C C Concrete,2005,7,Nagpur,Maharashtra,0,1,4,21.1458,79.088155
4,A C C Concrete,2006,6,Mumbai,Maharashtra,0,1,4,19.017615,72.856164
4,A C C Concrete,2007,6,Mumbai,Maharashtra,0,1,4,19.017615,72.856164
4,A C C Concrete,2008,6,Mumbai,Maharashtra,0,1,4,19.017615,72.856164
5,A C E Designers,2003,8,Bangalore,Karnataka,0,0,3,12.971599,77.594563
5,A C E Designers,2005,8,Bangalore,Karnataka,0,0,3,12.971599,77.594563
5,A C E Designers,2006,8,Bangalore,Karnataka,0,0,3,12.971599,77.594563
5,A C E Designers,2007,8,Bangalore,Karnataka,0,0,3,12.971599,77.594563
5,A C E Designers,2008,8,Bangalore,Karnataka,0,0,3,12.971599,77.594563
5,A C E Designers,2009,8,Bangalore,Karnataka,0,0,3,12.971599,77.594563
5,A C E Designers,2010,8,Bangalore,Karnataka,0,0,3,12.971599,77.594563
6,A C M E Telepower,2006,9,Delhi,Delhi,0,0,2,28.635308,77.22496
6,A C M E Telepower,2007,9,Delhi,Delhi,0,0,2,28.635308,77.22496
6,A C M E Telepower,2008,9,Delhi,Delhi,0,0,2,28.635308,77.22496
7,A E Telelink Systems,2005,10,Delhi,Delhi,0,0,2,28.635308,77.22496
7,A E Telelink Systems,2006,10,Delhi,Delhi,0,0,2,28.635308,77.22496
7,A E Telelink Systems,2007,10,Delhi,Delhi,0,0,2,28.635308,77.22496
7,A E Telelink Systems,2008,10,Delhi,Delhi,0,0,2,28.635308,77.22496
7,A E Telelink Systems,2009,10,Delhi,Delhi,0,0,2,28.635308,77.22496
7,A E Telelink Systems,2010,10,Delhi,Delhi,0,0,2,28.635308,77.22496
8,A G T Electronics,2005,11,Coimbatore,Tamil Nadu,0,0,2,11.0116,76.9681
8,A G T Electronics,2006,11,Coimbatore,Tamil Nadu,0,0,2,11.0116,76.9681
8,A G T Electronics,2007,11,Coimbatore,Tamil Nadu,0,0,2,11.0116,76.9681
8,A G T Electronics,2008,11,Coimbatore,Tamil Nadu,0,0,2,11.0116,76.9681
8,A G T Electronics,2009,11,Coimbatore,Tamil Nadu,0,0,2,11.0116,76.9681
8,A G T Electronics,2010,11,Coimbatore,Tamil Nadu,0,0,2,11.0116,76.9681
9,A I M C O Pesticides,2003,12,Ratnagiri,Maharashtra,0,0,1,16.99202,73.292313
9,A I M C O Pesticides,2010,12,Ratnagiri,Maharashtra,0,0,1,16.99202,73.292313
10,A I M I L,2003,13,Delhi,Delhi,0,0,2,28.635308,77.22496
10,A I M I L,2005,13,Delhi,Delhi,0,0,2,28.635308,77.22496
10,A I M I L,2006,13,Delhi,Delhi,0,0,2,28.635308,77.22496
10,A I M I L,2007,13,Delhi,Delhi,0,0,2,28.635308,77.22496
10,A I M I L,2008,13,Delhi,Delhi,0,0,2,28.635308,77.22496
10,A I M I L,2009,13,Delhi,Delhi,0,0,2,28.635308,77.22496
10,A I M I L,2010,13,Delhi,Delhi,0,0,2,28.635308,77.22496
11,A P L A B,2003,14,Mumbai,Maharashtra,0,0,2,19.017615,72.856164
11,A P L A B,2005,14,Mumbai,Maharashtra,0,0,2,19.017615,72.856164
11,A P L A B,2006,14,Mumbai,Maharashtra,0,0,2,19.017615,72.856164
11,A P L A B,2007,14,Mumbai,Maharashtra,0,0,2,19.017615,72.856164
11,A P L A B,2008,14,Mumbai,Maharashtra,0,0,2,19.017615,72.856164
11,A P L A B,2009,14,Mumbai,Maharashtra,0,0,2,19.017615,72.856164
11,A P L A B,2010,14,Mumbai,Maharashtra,0,0,2,19.017615,72.856164
12,A R M,2003,15,Hyderabad,Andhra Pradesh,0,0,2,17.385044,78.486671
13,A S L Advanced System,2003,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2005,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2006,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2007,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2008,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2009,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2010,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
14,Aartech Solonics,2003,17,Bhopal,Madhya Pradesh,0,0,2,23.259933,77.412615
14,Aartech Solonics,2005,17,Bhopal,Madhya Pradesh,0,0,2,23.259933,77.412615
14,Aartech Solonics,2006,17,Bhopal,Madhya Pradesh,0,0,2,23.259933,77.412615
15,Aarti Drugs,2003,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2005,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2006,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2007,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2008,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2009,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2010,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
16,Aarti Healthcare,2005,19,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
16,Aarti Healthcare,2006,19,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
16,Aarti Healthcare,2007,19,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
16,Aarti Healthcare,2008,19,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
17,Aarti Industries,2003,20,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
17,Aarti Industries,2003,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2005,20,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
17,Aarti Industries,2005,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2006,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2007,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2008,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2009,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2010,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
18,Abacus Saftech,2003,22,Delhi,Delhi,0,0,7,28.635308,77.22496
19,Abbott India,2003,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2005,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2006,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2007,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2008,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2009,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2010,23,Verna,Goa,0,1,1,15.347326,73.929586
20,Abellon Clean Energy Limited,2010,2062,Ahmedabad,Gujarat,0,0,8,23.039568,72.566005
21,Accord Software And Systems,2009,24,Bangalore,Karnataka,0,0,2,12.971599,77.594563
